,genotype,selection,NPPC code,location,treatment,rep,barcode,LT target,sample DNA,,genotype,barcode,LT target,comment,Tillering 04/01,FL,GS51     1st spikelets days from 01/01/15,GS55  panicle 50% emerged,,Height 10/02/16
1,9989,2012-131/4/47,17,1,1,1,O7-17111,4930,1,1,9989,O7-17111,4930,,0,1,11,13,,66
2,10031,2013-214ACnII/4,22,1,2,1,O7-22121,4930,,2,10031,O7-22121,4930,,0,1,13,20,,
3,9899,2012-134/1/13,04,1,2,1,O7-04121,4930,,3,9899,O7-04121,4930,,0,1,8,11,,
4,9905,2012-134/1/35,05,1,2,1,O7-05121,4930,,4,9905,O7-05121,4930,,0,1,11,15,,
5,10001,2012-138/11/7,18,1,1,1,O7-18111,4930,1,5,10001,O7-18111,4930,,0,1,11,18,,
6,9953,2012-125/1/30,13,1,2,1,O7-13121,4930,,6,9953,O7-13121,4930,,0,1,15,22,,
7,10094,2013-214ACnXV/16,29,1,1,1,O7-29111,4930,1,7,10094,O7-29111,4930,,0,1,8,11,,
8,9932,2012-139/6/2,10,1,1,1,O7-10111,4930,1,8,9932,O7-10111,4930,,0,1,11,15,,
9,9974,2012-131/4/5,16,1,1,1,O7-16111,4930,1,9,9974,O7-16111,4930,,1,1,11,18,,
10,9911,2012-137/5/1,07,1,2,1,O7-07121,4930,,10,9911,O7-07121,4930,,1,0,,,,
11,10202,Tardis,39,1,2,1,O7-39121,4930,,11,10202,O7-39121,4930,,1,0,33,36,,
12,10028,2013-214ACnII/3,21,1,1,1,O7-21111,4930,1,12,10028,O7-21111,4930,,0,1,5,11,,
13,9941,2012-139/6/25,11,1,2,1,O7-11121,4930,,13,9941,O7-11121,4930,,0,1,5,11,,
14,10046,2013-214ACnX/4,23,1,2,1,O7-23121,4930,,14,10046,O7-23121,4930,,1,0,27,33,,
15,9914,2012-137/5/5,08,1,2,1,O7-08121,4930,,15,9914,O7-08121,4930,,1,0,36,,,
16,9947,2012-125/1/26,12,1,2,1,O7-12121,4930,,16,9947,O7-12121,4930,,0,1,11,20,,53
17,9974,2012-131/4/5,16,1,2,1,O7-16121,4930,,17,9974,O7-16121,4930,,0,1,11,15,,
18,10142,2012-124/23/19,35,1,1,1,O7-35111,4930,1,18,10142,O7-35111,4930,dead,,,,,,
19,10184,SC074,36,1,2,1,O7-36121,4930,,19,10184,O7-36121,4930,,1,0,36,,,
20,10049,2013-214ACnX/21,24,1,2,1,O7-24121,4930,,20,10049,O7-24121,4930,,1,0,25,33,,
21,10058,2013-214ACnX/41,26,1,2,1,O7-26121,4930,,21,10058,O7-26121,4930,dead,,,,,,
22,10015,2013-213ACnIII/13,19,1,1,1,O7-19111,4930,1,22,10015,O7-19111,4930,,0,1,8,15,,
