Selection,O5,NPPC code
2012-127/7/16,9887,01
2012-127/7/16,9889,02
2012-127/7/16,9893,03
2012-127/7/18,9899,04
2012-127/7/18,9905,05
2012-127/7/18,9908,06
2012-134/1/11,9911,07
2012-134/1/11,9914,08
2012-134/1/11,9922,09
2012-134/1/13,9932,10
2012-134/1/13,9941,11
2012-134/1/13,9947,12
2012-134/1/35,9953,13
2012-134/1/35,9956,14
2012-134/1/35,9967,15
2012-134/1/36,9974,16
2012-134/1/36,9989,17
2012-134/1/36,10001,18
2012-137/5/1,10015,19
2012-137/5/1,10022,20
2012-137/5/1,10028,21
2012-137/5/5,10031,22
2012-137/5/5,10046,23
2012-137/5/5,10049,24
2012-130/5/5,10055,25
2012-130/5/5,10058,26
2012-130/5/5,10073,27
2012-139/6/2,10076,28
2012-139/6/2,10094,29
2012-139/6/2,10103,30
2012-139/6/25,10109,31
2012-139/6/25,10112,32
2012-139/6/25,10115,33
2012-125/1/26,10139,34
2012-125/1/26,10142,35
2012-125/1/26,10184,36
2012-125/1/30,10190,37
2012-125/1/30,10196,38
2012-125/1/30,10202,39
2012-121/7/16,10204,40
2012-121/7/16,,
2012-121/7/16,,
2012-132/6/31,,
2012-132/6/31,,
2012-132/6/31,,
2012-131/4/5,,
2012-131/4/5,,
2012-131/4/5,,
2012-131/4/47,,
2012-131/4/47,,
2012-131/4/47,,
2012-138/11/7,,
2012-138/11/7,,
2012-138/11/7,,
2013-213ACnIII/13,,
2013-213ACnIII/13,,
2013-213ACnIII/13,,
2013-213ACnVII/15,,
2013-213ACnVII/15,,
2013-213ACnVII/15,,
2013-214ACnII/3,,
2013-214ACnII/3,,
2013-214ACnII/3,,
2013-214ACnII/4,,
2013-214ACnII/4,,
2013-214ACnII/4,,
2013-214ACnX/4,,
2013-214ACnX/4,,
2013-214ACnX/4,,
2013-214ACnX/21,,
2013-214ACnX/21,,
2013-214ACnX/21,,
2013-214ACnX/31,,
2013-214ACnX/31,,
2013-214ACnX/31,,
2013-214ACnX/41,,
2013-214ACnX/41,,
2013-214ACnX/41,,
2013-214ACnXV/7,,
2013-214ACnXV/7,,
2013-214ACnXV/7,,
2013-214ACnXV/8,,
2013-214ACnXV/8,,
2013-214ACnXV/8,,
2013-214ACnXV/16,,
2013-214ACnXV/16,,
2013-214ACnXV/16,,
2013-211ACnII/39,,
2013-211ACnII/39,,
2013-211ACnII/39,,
2013-212ACnI/14,,
2013-212ACnI/14,,
2013-212ACnI/14,,
2013-212ACnI/16,,
2013-212ACnI/16,,
2013-212ACnI/16,,
2013-212ACnI/23,,
2013-212ACnI/23,,
2013-212ACnI/23,,
2012-124/23/8,,
2012-124/23/8,,
2012-124/23/8,,
2012-124/23/19,,
2012-124/23/19,,
2012-124/23/19,,
SC074,,
SC074,,
SC074,,
SC103,,
SC103,,
SC103,,
SC174,,
SC174,,
SC174,,
Tardis,,
Tardis,,
Tardis,,
Buffalo,,
Buffalo,,
Buffalo,,
2012-127/7/16,,
2012-127/7/16,,
2012-127/7/16,,
2012-127/7/18,,
2012-127/7/18,,
2012-127/7/18,,
2012-134/1/11,,
2012-134/1/11,,
2012-134/1/11,,
2012-134/1/13,,
2012-134/1/13,,
2012-134/1/13,,
2012-134/1/35,,
2012-134/1/35,,
2012-134/1/35,,
2012-134/1/36,,
2012-134/1/36,,
2012-134/1/36,,
2012-137/5/1,,
2012-137/5/1,,
2012-137/5/1,,
2012-137/5/5,,
2012-137/5/5,,
2012-137/5/5,,
2012-130/5/5,,
2012-130/5/5,,
2012-130/5/5,,
2012-139/6/2,,
2012-139/6/2,,
2012-139/6/2,,
2012-139/6/25,,
2012-139/6/25,,
2012-139/6/25,,
2012-125/1/26,,
2012-125/1/26,,
2012-125/1/26,,
2012-125/1/30,,
2012-125/1/30,,
2012-125/1/30,,
2012-121/7/16,,
2012-121/7/16,,
2012-121/7/16,,
2012-132/6/31,,
2012-132/6/31,,
2012-132/6/31,,
2012-131/4/5,,
2012-131/4/5,,
2012-131/4/5,,
2012-131/4/47,,
2012-131/4/47,,
2012-131/4/47,,
2012-138/11/7,,
2012-138/11/7,,
2012-138/11/7,,
2013-213ACnIII/13,,
2013-213ACnIII/13,,
2013-213ACnIII/13,,
2013-213ACnVII/15,,
2013-213ACnVII/15,,
2013-213ACnVII/15,,
2013-214ACnII/3,,
2013-214ACnII/3,,
2013-214ACnII/3,,
2013-214ACnII/4,,
2013-214ACnII/4,,
2013-214ACnII/4,,
2013-214ACnX/4,,
2013-214ACnX/4,,
2013-214ACnX/4,,
2013-214ACnX/21,,
2013-214ACnX/21,,
2013-214ACnX/21,,
2013-214ACnX/31,,
2013-214ACnX/31,,
2013-214ACnX/31,,
2013-214ACnX/41,,
2013-214ACnX/41,,
2013-214ACnX/41,,
2013-214ACnXV/7,,
2013-214ACnXV/7,,
2013-214ACnXV/7,,
2013-214ACnXV/8,,
2013-214ACnXV/8,,
2013-214ACnXV/8,,
2013-214ACnXV/16,,
2013-214ACnXV/16,,
2013-214ACnXV/16,,
2013-211ACnII/39,,
2013-211ACnII/39,,
2013-211ACnII/39,,
2013-212ACnI/14,,
2013-212ACnI/14,,
2013-212ACnI/14,,
2013-212ACnI/16,,
2013-212ACnI/16,,
2013-212ACnI/16,,
2013-212ACnI/23,,
2013-212ACnI/23,,
2013-212ACnI/23,,
2012-124/23/8,,
2012-124/23/8,,
2012-124/23/8,,
2012-124/23/19,,
2012-124/23/19,,
2012-124/23/19,,
SC074,,
SC074,,
SC074,,
SC103,,
SC103,,
SC103,,
SC174,,
SC174,,
SC174,,
Tardis,,
Tardis,,
Tardis,,
Buffalo,,
Buffalo,,
Buffalo,,
