genotype,barcode,erectness,tiller count,,,,,,,
9989,O7-17111,2,4,,,,,,,
10031,O7-22121,3,4,,,,,,,
9899,O7-04121,3,5,,,,,,,
9905,O7-05121,4,4,,,,,,,
10001,O7-18111,4,4,,,,,,,
9953,O7-13121,4,3,,,,,,,
10094,O7-29111,4,5,,,,,,,
9932,O7-10111,3,6,,,,,,,
9974,O7-16111,2,7,,,,,,,
9911,O7-07121,1,6,,,,,,,
Tardis,O7-39121,1,5,,,,,,,
10028,O7-21111,3,6,,,,,,,
9941,O7-11121,4,5,,,,,,,
10046,O7-23121,4,4,,,,,,,
9914,O7-08121,1,7,,,,,,,
9947,O7-12121,4,4,,,,,,,
9974,O7-16121,3,6,,,,,,,
10142,O7-35111,n/d,,,,,,,,
10184,O7-36121,1,6,,,,,,,
10049,O7-24121,2,6,,,,,,,
10058,O7-26121,n/d,,,,,,,,
10015,O7-19111,4,5,,,,,,,
9947,O7-12111,3,5,,,,,,,
10015,O7-19121,n/d 4,3,,,,,,,
10109,O7-31111,5,4,,,,,,,
9922,O7-09111,2,5,,,,,,,
9953,O7-13111,3,4,,,,,,,
10094,O7-29121,n/d,,,,,,,,
10196,O7-38121,2,5,,,,,,,
9956,O7-14111,2,6,,,,,,,
Buffalo,O7-40111,4,5,,,,,,,
Tardis,O7-39111,3,7,,,,,,,
9908,O7-06111,4,7,,,,,,,
10073,O7-27111,4,5,,,,,,,
10115,O7-33111,4,7,,,,,,,
9967,O7-15121,3,5,,,,,,,
10073,O7-27121,n/d,,,,,,,,
9914,O7-08111,2,6,,,,,,,
10190,O7-37111,2,7,,,,,,,
10055,O7-25121,4,5,,,,,,,
10142,O7-35121,n/d5,3,,,,,,,
10022,O7-20121,n/d5,3,,,,,,,
9887,O7-01111,2,6,,,,,,,
9922,O7-09121,1,5,,,,,,,
10001,O7-18121,n/d 5,3,,,,,,,
9911,O7-07111,1,8,,,,,,,
10115,O7-33121,3,5,,,,,,,
10076,O7-28111,3,4,,,,,,,
9899,O7-04111,3,5,,,,,,,
9889,O7-02111,3,6,,,,,,,
9989,O7-17121,2,5,,,,,,,
10103,O7-30111,2,6,,,,,,,
9956,O7-14121,2,5,,,,,,,
9932,O7-10121,n/d,,,,,,,,
10049,O7-24111,2,7,,,,,,,
10103,O7-30121,3,4,,,,,,,
9941,O7-11111,5,5,,,,,,,
10055,O7-25111,5,5,,,,,,,
10139,O7-34121,3,6,,,,,,,
9889,O7-02121,3,5,,,,,,,
10058,O7-26111,2,7,,,,,,,
10190,O7-37121,1,5,,,,,,,
9893,O7-03111,2,6,,,,,,,
10196,O7-38111,2,5,,,,,,,
Buffalo,O7-40121,4,6,,,,,,,
10028,O7-21121,n/d 4,3,,,,,,,
9967,O7-15111,4,5,,,,,,,
9893,O7-03121,2,4,,,,,,,
10022,O7-20111,3,6,,,,,,,
10031,O7-22111,3,6,,,,,,,
9908,O7-06121,3,6,,,,,,,
10184,O7-36111,1,5,,,,,,,
9905,O7-05111,3,5,,,,,,,
9887,O7-01121,2,5,,,,,,,
10112,O7-32111,3,6,,,,,,,
10139,O7-34111,3,4,,,,,,,
10112,O7-32121,2,6,,,,,,,
10076,O7-28121,n/d 5,1,,,,,,,
10046,O7-23111,2,6,,,,,,,
10109,O7-31121,3,5,,,,,,,
F2,O7-E121,,,,,,,,,
9989,O7-17112,3,5,,,,,,,
10031,O7-22122,4,4,,,,,,,
9899,O7-04122,3,5,,,,,,,
9905,O7-05122,2,5,,,,,,,
10001,O7-18112,3,4,,,,,,,
